,index,file_name,zero_angle,x_cms,y_cms,z_cms,delta_x,delta_y
887,887,598csv/1484724/1492893,8.0,128.46509,51.526638,141.5707674,0.041018888,0.344412787
3651,3651,598csv/1484747/1497126,8.0,128.6815586,53.4703003,151.2500291,-2.21176489,0.0
3615,3615,598csv/1484747/1496733,11.0,128.6322827,39.80006873,154.4388179,-3.300392929,0.51661918
216,216,598csv/1484718/1492205,4.0,109.7358048,38.26723275,154.3638466,0.038722802,0.51661918
1024,1024,598csv/1484725/1493030,33.0,127.5069914,51.96171849,137.4249128,-0.080687137,0.0
2059,2059,598csv/1484734/1494107,7.0,126.9567637,59.66201298,151.6125957,0.285146774,0.51661918
2269,2269,598csv/1484735/1494318,8.0,131.4582835,46.00506501,159.3435431,0.244073861,0.51661918
1545,1545,598csv/1484729/1493552,11.0,129.1700475,51.13046751,135.5241284,0.026040308,0.688825573
4652,4652,598csv/1484755/1500206,3.0,136.1248318,44.8198683,131.4597465,-6.278834188,0.51661918
4634,4634,598csv/1484755/1500186,25.0,131.4966694,46.56375291,120.7904858,-6.461210888,0.51661918
1327,1327,598csv/1484728/1493334,8.0,133.6346783,49.32739341,161.6814674,-0.050892054,1.03323836
4009,4009,598csv/1484750/1499485,34.0,132.449607,51.88797671,134.2840757,-2.218639639,0.51661918
5036,5036,598csv/1484758/1500600,0.0,128.5925846,48.96611141,121.9226939,-5.928883784,0.51661918
253,253,598csv/1484719/1492242,9.0,130.8960179,50.33845889,153.3736597,0.101243853,0.51661918
3870,3870,598csv/1484749/1497349,5.0,131.8467206,52.2656539,113.8855635,-2.214709281,0.51661918
2420,2420,598csv/1484737/1494469,4.0,123.2858547,44.56375419,156.570324,0.171990291,0.51661918
1941,1941,598csv/1484733/1493986,10.0,130.3939789,58.34037865,138.4142148,0.108807428,-0.172206393
862,862,598csv/1484724/1492868,14.0,144.0209116,49.42312511,137.4063302,0.019368154,0.172206393
4279,4279,598csv/1484752/1499775,23.0,130.8585497,47.84633868,128.5109702,-2.036911245,0.51661918
1470,1470,598csv/1484729/1493477,13.0,135.2123205,54.25415517,147.9376194,0.059320038,-0.172206393
3822,3822,598csv/1484748/1497301,13.0,116.5309069,53.60212652,114.658687,-2.116544884,-0.172206393
1814,1814,598csv/1484732/1493823,5.0,108.1438247,50.25252432,130.600234,0.089560831,0.51661918
2002,2002,598csv/1484733/1494050,10.0,128.4383955,58.40673324,155.7210514,0.098123878,0.51661918
2657,2657,598csv/1484739/1494717,19.0,116.3096052,44.10205046,136.9552825,-1.260429241,0.51661918
1776,1776,598csv/1484731/1493784,12.0,129.9948581,52.86344873,140.9947132,-0.197936054,0.172206393
1734,1734,598csv/1484731/1493741,13.0,128.6738205,53.53398058,141.8547664,-0.055767859,1.205444753
4515,4515,598csv/1484754/1500022,33.0,126.8472078,26.64102183,111.3268974,-6.622760745,0.51661918
1018,1018,598csv/1484725/1493024,11.0,133.8204755,41.45394463,136.5135506,-0.099190883,0.51661918
4086,4086,598csv/1484751/1499574,17.0,129.5407308,50.51020825,116.1093846,-2.041584454,0.51661918
4320,4320,598csv/1484752/1499818,6.0,129.6666958,43.36515158,127.4024236,-2.20952283,-0.172206393
5280,5280,598csv/1484760/1500859,21.0,140.5353549,24.35169492,137.2982985,-5.663253734,0.51661918
4451,4451,598csv/1484754/1499955,3.0,144.3946647,37.12735246,130.8686278,-2.146866715,0.51661918
4557,4557,598csv/1484754/1500075,11.0,143.3470118,27.06534073,129.1803236,-6.481565008,0.51661918
4417,4417,598csv/1484753/1499920,1.0,117.9943728,48.63230329,127.9912859,-2.078281299,0.51661918
4664,4664,598csv/1484755/1500219,18.0,130.9098339,34.72866231,123.1581552,-6.534050816,0.51661918
2123,2123,598csv/1484734/1494172,18.0,120.5287221,46.13833796,112.6995318,0.195964122,0.51661918
4756,4756,598csv/1484756/1500313,10.0,131.6539107,42.66457954,112.9410942,-6.011677917,0.51661918
761,761,598csv/1484723/1492763,10.0,125.3675131,47.10191898,157.8680364,-0.006672154,0.688825573
2457,2457,598csv/1484737/1494506,26.0,125.2328049,50.645,108.9189024,0.178068164,0.51661918
2774,2774,598csv/1484740/1494892,13.0,121.1490034,38.89743108,146.4979818,-1.436579499,0.51661918
3894,3894,598csv/1484749/1497373,11.0,110.8576545,41.25643216,114.7487924,-2.097798023,-0.172206393
4493,4493,598csv/1484754/1499999,20.0,141.0380579,50.53801519,130.8566431,-6.823600671,0.51661918
781,781,598csv/1484723/1492786,7.0,117.6854334,46.39468318,140.5479971,-0.112724279,0.51661918
4825,4825,598csv/1484757/1500383,5.0,137.9347047,50.98387255,108.2486867,-5.898075723,0.51661918
1064,1064,598csv/1484725/1493071,19.0,127.0796127,26.57229833,143.6100541,-0.028890155,0.51661918
3198,3198,598csv/1484743/1495685,4.0,115.2110836,21.77137439,148.9115524,-3.298407491,0.51661918
1915,1915,598csv/1484732/1493960,7.0,118.9661418,50.58415488,149.9743498,0.022528648,0.51661918
3079,3079,598csv/1484742/1495223,8.0,130.6439404,57.60170777,157.3248055,-2.66089267,0.51661918
4835,4835,598csv/1484757/1500393,27.0,128.0481082,51.76060024,112.9238565,-5.889404624,0.51661918
4326,4326,598csv/1484753/1499824,11.0,114.2680389,46.35473948,127.2652666,-2.282119643,0.51661918
3325,3325,598csv/1484744/1496437,8.0,129.460305,39.87768022,165.2572551,-3.204159945,0.51661918
4783,4783,598csv/1484756/1500340,30.0,132.4358902,45.11110218,112.9399285,-6.021996794,0.51661918
3721,3721,598csv/1484748/1497198,9.0,120.9532069,42.1733219,154.5348645,-2.222529477,0.51661918
3380,3380,598csv/1484745/1496492,1.0,121.1804526,46.56125401,126.6963656,-3.355998711,0.51661918
2531,2531,598csv/1484738/1494587,7.0,116.0433223,43.03623988,152.4716244,0.281432519,0.51661918
5144,5144,598csv/1484759/1500712,22.0,137.9853254,52.10890833,114.958307,-5.79395501,0.51661918
1335,1335,598csv/1484728/1493342,5.0,117.433783,48.85132159,164.3957416,-0.076486651,0.344412787
4574,4574,598csv/1484755/1500100,4.0,125.230341,51.82664204,125.2708367,-6.566857822,0.51661918
4959,4959,598csv/1484758/1500519,12.0,114.698388,26.15556247,134.2064826,-5.837040374,0.51661918
674,674,598csv/1484722/1492673,10.0,142.3630509,35.96198014,157.1322548,0.104080193,-0.172206393
2478,2478,598csv/1484737/1494527,7.0,123.3941345,50.50304268,137.451965,0.216048115,0.51661918
4359,4359,598csv/1484753/1499857,1.0,127.6616272,24.84985997,109.6504486,-2.183252913,0.51661918
4401,4401,598csv/1484753/1499904,27.0,127.2719844,57.65867737,116.1113592,-2.106685224,0.51661918
383,383,598csv/1484720/1492381,11.0,118.4715331,58.1104941,156.5092402,0.134320987,0.0
62,62,598csv/1484717/1492050,18.0,139.8374598,44.61056019,137.5990018,0.054700854,0.51661918
4615,4615,598csv/1484755/1500166,8.0,145.3450829,31.97466495,118.4858332,-6.515574083,0.51661918
1782,1782,598csv/1484731/1493791,9.0,128.8579865,56.23130355,157.0398103,0.070624881,0.51661918
401,401,598csv/1484720/1492400,11.0,133.2936598,51.05459241,150.3552576,0.035386726,0.0
4718,4718,598csv/1484756/1500273,3.0,140.5996569,48.9215528,123.4970565,-6.405551081,0.51661918
5070,5070,598csv/1484759/1500636,22.0,128.1471887,42.69377442,123.2629947,-6.030208675,0.51661918
448,448,598csv/1484720/1492447,24.0,119.3787228,56.1210018,149.5076934,0.024095389,0.688825573
3265,3265,598csv/1484744/1496375,21.0,119.7113687,34.2156062,118.9231985,-3.305376785,0.51661918
2768,2768,598csv/1484740/1494884,8.0,119.4560092,52.73857797,146.3080133,-1.505016345,0.51661918
593,593,598csv/1484721/1492592,11.0,141.5806553,45.40498138,136.1892481,0.004767753,0.51661918
1472,1472,598csv/1484729/1493479,9.0,115.4575951,57.24507157,151.2699264,0.017166614,0.51661918
4567,4567,598csv/1484755/1500085,10.0,139.4380013,36.37037037,120.709426,-6.417747345,0.51661918
2167,2167,598csv/1484735/1494216,20.0,118.8869678,46.06770623,138.0871374,0.214792021,0.51661918
4907,4907,598csv/1484757/1500465,11.0,130.2587098,43.44209418,125.837768,-5.825060212,0.51661918
767,767,598csv/1484723/1492771,14.0,134.3402136,46.42088814,131.0029536,0.057118497,0.51661918
487,487,598csv/1484721/1492486,5.0,121.4173025,52.49255177,155.6326349,0.079133903,0.688825573
1560,1560,598csv/1484729/1493567,12.0,128.0495283,49.82190121,151.2237618,-0.009035771,0.51661918
3614,3614,598csv/1484747/1496732,,128.0,51.5,128.0,126.807507,0.51661918
3532,3532,598csv/1484746/1496650,26.0,135.9812961,39.67087044,151.4396063,-3.247191283,0.51661918
2160,2160,598csv/1484734/1494209,4.0,106.4553286,58.31206962,149.6405778,0.26163216,0.51661918
601,601,598csv/1484722/1492600,6.0,135.4039007,29.65794318,159.0390567,0.029160283,0.51661918
4085,4085,598csv/1484751/1499573,22.0,124.263675,52.90553736,128.9121797,-2.097500883,0.688825573
4026,4026,598csv/1484750/1499512,4.0,126.3495016,46.84754707,112.0053749,-2.20298574,0.344412787
1972,1972,598csv/1484733/1494020,7.0,128.1753185,48.39102564,148.7650621,0.070381766,0.51661918
2957,2957,598csv/1484741/1495089,10.0,131.6035263,58.63077794,152.3953717,-1.76849888,0.51661918
4951,4951,598csv/1484758/1500511,7.0,132.4715812,48.90352216,111.2002352,-5.80732633,0.51661918
4689,4689,598csv/1484756/1500244,29.0,121.5745869,44.22609687,123.3330294,-6.339815511,0.51661918
348,348,598csv/1484719/1492346,10.0,125.3810365,47.01882408,147.3768998,0.220977945,0.344412787
4261,4261,598csv/1484752/1499756,33.0,113.2822346,49.82234567,110.6226642,-2.114762041,0.51661918
4267,4267,598csv/1484752/1499762,2.0,123.4888477,52.22128358,127.680169,-2.110034807,0.172206393
2576,2576,598csv/1484738/1494634,8.0,125.099005,50.41381128,156.3288745,0.094071963,0.51661918
627,627,598csv/1484722/1492626,19.0,119.9322545,40.9841536,119.3738996,0.139831591,0.172206393
165,165,598csv/1484718/1492154,2.0,121.7051523,41.86243365,129.1181307,0.038385143,-0.172206393
3147,3147,598csv/1484743/1495628,10.0,143.4278182,28.21550442,171.8232161,-3.341438829,0.51661918
4491,4491,598csv/1484754/1499997,22.0,139.2044137,50.11063144,119.5196843,-6.827125838,0.51661918
1917,1917,598csv/1484732/1493962,5.0,115.0535232,46.48197218,150.169501,0.031685976,0.51661918
943,943,598csv/1484724/1492949,20.0,105.6819354,24.2499504,153.9924601,-0.074771341,0.51661918
427,427,598csv/1484720/1492426,13.0,131.0185213,48.93563952,148.5833643,0.118126833,0.172206393
2450,2450,598csv/1484737/1494499,26.0,126.9012008,52.13749625,147.2081057,0.209429987,0.51661918
719,719,598csv/1484722/1492720,6.0,122.3897697,48.25638952,154.0144138,0.127459744,0.51661918
4166,4166,598csv/1484751/1499657,33.0,125.5440896,54.82361194,116.0443881,-2.069475136,0.344412787
4969,4969,598csv/1484758/1500530,13.0,115.7593275,49.93392538,126.5306356,-5.81927948,0.51661918
2265,2265,598csv/1484735/1494314,7.0,128.2463725,44.13294306,156.5664465,0.215764481,0.51661918
5107,5107,598csv/1484759/1500674,8.0,137.205298,53.043001,122.8575101,-5.836689208,0.51661918
3861,3861,598csv/1484749/1497340,12.0,118.6474444,51.64937615,117.5723288,-2.254174935,0.51661918
2463,2463,598csv/1484737/1494512,6.0,128.2910976,54.62265541,134.1488638,0.261686186,0.51661918
4869,4869,598csv/1484757/1500427,32.0,128.3833053,47.43224619,126.0779531,-5.898670003,0.51661918
1757,1757,598csv/1484731/1493764,11.0,130.6040113,42.58485182,142.5963475,-0.163224648,0.172206393
815,815,598csv/1484723/1492821,5.0,110.6252839,45.77410876,151.5486769,0.099839189,0.51661918
1144,1144,598csv/1484726/1493151,5.0,116.9594243,44.60347035,148.9193783,0.00859006,0.51661918
376,376,598csv/1484720/1492374,9.0,139.2164417,53.18070505,143.9126089,0.210929196,0.344412787
4786,4786,598csv/1484756/1500343,20.0,134.8503481,45.66189076,116.9643509,-6.001034886,0.51661918
2423,2423,598csv/1484737/1494472,21.0,110.7491192,23.46177963,158.5198617,0.007252928,0.51661918
844,844,598csv/1484724/1492850,3.0,123.7764044,32.88451026,147.6784971,0.059927825,0.51661918
4670,4670,598csv/1484755/1500225,35.0,133.4849218,47.6562689,135.8510902,-6.364451155,0.51661918
2461,2461,598csv/1484737/1494510,21.0,128.6912397,55.94399462,139.5353541,0.160725967,0.51661918
581,581,598csv/1484721/1492580,20.0,124.0107651,50.13771377,139.7367417,0.076648728,0.51661918
4711,4711,598csv/1484756/1500266,19.0,139.5807527,34.8353562,113.3969726,-6.412061158,0.51661918
1854,1854,598csv/1484732/1493863,10.0,118.6453656,55.44207024,150.1942351,0.104917589,0.51661918
1319,1319,598csv/1484727/1493326,11.0,122.9199831,49.30184181,151.3791287,0.042072385,0.344412787
2739,2739,598csv/1484739/1494833,23.0,123.4119442,54.97356815,138.3330715,-1.43268966,0.51661918
1454,1454,598csv/1484729/1493461,9.0,117.8410589,44.47134134,147.8971272,-0.137481481,0.51661918
2432,2432,598csv/1484737/1494481,11.0,124.4761654,39.68274105,154.8862975,0.186469135,0.51661918
3621,3621,598csv/1484747/1496739,21.0,115.4602225,47.08330728,137.9162014,-3.289047567,0.51661918
3134,3134,598csv/1484743/1495288,9.0,128.2756601,52.88608993,154.5896954,-2.836664748,0.51661918
1590,1590,598csv/1484730/1493597,7.0,126.2408589,53.56139903,142.9269282,0.023420069,0.51661918
589,589,598csv/1484721/1492588,9.0,129.9769615,44.774446,156.8595328,0.080822201,0.688825573
3617,3617,598csv/1484747/1496735,31.0,130.9855095,52.78728053,148.9686422,-3.265897625,0.51661918
3085,3085,598csv/1484742/1495229,19.0,144.8943262,46.40018664,130.0430011,-2.687945956,0.688825573
1008,1008,598csv/1484725/1493014,6.0,121.5808535,51.03926173,151.3412835,-0.025797193,0.861031966
1204,1204,598csv/1484727/1493211,6.0,138.3125839,29.54102874,146.8786597,-0.032509866,0.51661918
3907,3907,598csv/1484749/1497386,10.0,111.41479,35.87858327,112.8421542,-2.191505314,0.51661918
1792,1792,598csv/1484731/1493801,11.0,144.9670242,26.48639281,139.9338611,-0.007604094,0.172206393
3430,3430,598csv/1484745/1496543,11.0,127.434147,56.57148605,153.1178246,-3.339885595,0.172206393
3359,3359,598csv/1484744/1496471,5.0,96.44848988,33.69072277,146.4811821,-3.396234228,0.51661918
2394,2394,598csv/1484736/1494443,5.0,109.4528545,53.65168449,146.2489812,0.262375011,0.51661918
849,849,598csv/1484724/1492855,8.0,126.2728924,51.00612259,153.3633183,-0.05285048,0.51661918
5084,5084,598csv/1484759/1500651,0.0,133.9448535,44.80134069,115.4830763,-5.885501279,0.51661918
211,211,598csv/1484718/1492200,27.0,124.4941099,50.18539261,156.3798617,0.076176005,0.51661918
4587,4587,598csv/1484755/1500136,27.0,130.7805584,41.50464178,114.0453078,-6.538615974,0.51661918
3604,3604,598csv/1484747/1496722,10.0,121.9207029,44.06390284,142.3926462,-3.178646386,0.51661918
5025,5025,598csv/1484758/1500589,16.0,127.060336,34.6527254,111.4705519,-5.945996372,0.51661918
1425,1425,598csv/1484728/1493432,18.0,137.455142,48.96261604,129.1622122,-0.040019415,0.51661918
5062,5062,598csv/1484759/1500626,25.0,125.6194239,49.72027624,126.6349779,-6.034490199,0.51661918
4791,4791,598csv/1484756/1500348,8.0,127.42896,51.33101067,103.524006,-5.990999643,0.51661918
561,561,598csv/1484721/1492560,10.0,139.50783,45.2588287,161.4036433,-0.019638282,0.51661918
1548,1548,598csv/1484729/1493555,2.0,141.3240291,52.16412686,132.4297655,-0.108604832,0.51661918
2746,2746,598csv/1484739/1494844,11.0,125.9107694,55.54579025,157.2077011,-1.487228438,0.51661918
728,728,598csv/1484723/1492729,11.0,128.3023374,50.08134546,143.1297747,0.142924553,0.344412787
410,410,598csv/1484720/1492409,12.0,134.294049,38.03414429,166.3124494,0.103040202,0.51661918
2871,2871,598csv/1484740/1494998,22.0,125.8381763,55.73000701,137.369018,-1.781546047,0.344412787
445,445,598csv/1484720/1492444,9.0,119.3785919,51.92032402,158.8568089,0.122583939,0.51661918
4240,4240,598csv/1484752/1499732,12.0,132.2805835,48.96860958,116.4539586,-2.101985002,0.51661918
2172,2172,598csv/1484735/1494221,29.0,133.4631597,52.38579081,134.8313867,0.373492031,0.51661918
2476,2476,598csv/1484737/1494525,10.0,126.9794876,52.92027156,148.91032,0.219789383,0.51661918
1558,1558,598csv/1484729/1493565,12.0,131.3343696,53.04187391,136.7785377,-0.011399388,0.51661918
2382,2382,598csv/1484736/1494431,5.0,126.2676864,49.19604119,144.0634476,0.124312756,0.51661918
1576,1576,598csv/1484730/1493583,2.0,117.7268711,55.28453453,123.6127281,0.084158277,0.51661918
4033,4033,598csv/1484750/1499519,26.0,141.4745436,41.50655968,103.6469007,-2.201972761,0.51661918
922,922,598csv/1484724/1492928,7.0,119.6204703,47.10988385,159.2291357,-0.029524955,-0.172206393
318,318,598csv/1484719/1492316,14.0,126.1670562,57.38407007,144.7273007,-0.05285048,0.51661918
1367,1367,598csv/1484728/1493374,15.0,139.6735706,40.33656651,143.7164163,-0.047380394,0.51661918
954,954,598csv/1484724/1492960,9.0,127.4048808,53.91289244,151.3350124,-0.041113432,1.03323836
586,586,598csv/1484721/1492585,11.0,123.1104621,48.52148929,162.2702664,0.078039886,0.172206393
995,995,598csv/1484725/1493001,9.0,124.365651,47.1519284,154.4862029,-0.121949139,0.861031966
723,723,598csv/1484723/1492724,7.0,125.1918987,58.04501989,154.0601676,0.185199534,0.51661918
2218,2218,598csv/1484735/1494267,28.0,116.2034913,51.80040103,147.6729278,0.234376278,0.51661918
1448,1448,598csv/1484729/1493455,5.0,126.7099807,55.11706902,157.1057028,-0.099082831,0.172206393
77,77,598csv/1484717/1492065,10.0,120.7812569,52.26838748,156.4799443,0.080741162,0.51661918
3235,3235,598csv/1484743/1496341,20.0,126.1358616,30.53120405,156.9953835,-3.251081122,0.51661918
3409,3409,598csv/1484745/1496522,8.0,129.7162146,45.87595657,158.5521856,-3.236183581,0.51661918
4618,4618,598csv/1484755/1500169,15.0,134.8901834,50.16832621,123.6461018,-6.442085849,0.51661918
2640,2640,598csv/1484738/1494699,7.0,122.7791749,54.80996351,139.1702779,0.241629206,0.51661918
3061,3061,598csv/1484742/1495204,9.0,127.8786763,56.59705548,157.132228,-2.623979723,0.51661918
3787,3787,598csv/1484748/1497266,7.0,130.0519178,46.79718652,115.9891711,-2.09889204,0.344412787
671,671,598csv/1484722/1492670,23.0,125.6079187,48.70317397,157.6959326,0.024284478,0.861031966
4747,4747,598csv/1484756/1500303,4.0,134.3479246,34.33052363,119.9704342,-6.40730691,0.51661918
1758,1758,598csv/1484731/1493765,7.0,121.7971787,47.88705944,154.8266585,-0.109536773,0.344412787
3124,3124,598csv/1484743/1495276,5.0,127.0608962,46.53059276,157.907918,-2.809584449,0.51661918
678,678,598csv/1484722/1492677,34.0,136.4355688,47.10855531,131.5168286,0.05329619,0.172206393
3700,3700,598csv/1484747/1497176,11.0,124.6368661,48.86357107,147.4438546,-2.149784094,0.51661918
5184,5184,598csv/1484760/1500759,21.0,128.577181,42.02238669,108.773092,-5.946401564,0.51661918
120,120,598csv/1484718/1492109,10.0,127.2779826,50.03817482,148.3728735,0.035832436,0.51661918
3749,3749,598csv/1484748/1497228,15.0,127.3415256,48.07725161,124.1724112,-2.171178206,0.51661918
704,704,598csv/1484722/1492703,4.0,103.970411,34.68747554,152.7592564,0.199165135,0.51661918
859,859,598csv/1484724/1492865,7.0,123.1384037,47.41282114,161.4349629,0.043706658,0.51661918
4448,4448,598csv/1484754/1499952,30.0,112.1871288,37.89112922,112.5349629,-2.195597748,0.51661918
4821,4821,598csv/1484757/1500379,13.0,117.1423308,42.16277411,119.9168598,-5.896549501,0.51661918
4601,4601,598csv/1484755/1500150,21.0,126.8260791,45.54819364,120.5810888,-6.509928414,0.51661918
4857,4857,598csv/1484757/1500415,13.0,123.4009129,46.83283006,119.5935042,-6.081722023,0.51661918
225,225,598csv/1484718/1492214,8.0,129.5937719,49.55967758,159.0642335,0.014681439,-0.172206393
2289,2289,598csv/1484736/1494338,19.0,131.3288353,37.96434225,138.1200528,0.027255882,0.51661918
210,210,598csv/1484718/1492199,10.0,122.1599887,60.24895403,156.3368926,0.017747388,0.861031966
1847,1847,598csv/1484732/1493856,9.0,130.0316693,54.80469107,141.8484074,0.129755829,-0.172206393
3995,3995,598csv/1484750/1499470,12.0,121.1826093,47.6877424,119.5832546,-2.011694827,0.51661918
4439,4439,598csv/1484753/1499943,32.0,139.8597327,39.15832504,118.9331011,-2.200257451,0.51661918
1059,1059,598csv/1484725/1493066,13.0,121.0591415,34.69529328,151.3035737,-0.013844043,0.51661918
1384,1384,598csv/1484728/1493391,7.0,119.1666011,50.40917142,156.5952568,-0.077850796,0.51661918
4039,4039,598csv/1484750/1499525,9.0,114.0445185,49.67347613,125.110484,-2.120421216,-0.172206393
1409,1409,598csv/1484728/1493416,11.0,124.609979,51.81792717,156.3176821,-0.098137385,0.688825573
3915,3915,598csv/1484749/1498394,29.0,118.1330146,45.82567801,121.5491456,-2.188290795,0.344412787
2781,2781,598csv/1484740/1494899,12.0,127.2189271,56.07148118,139.1920256,-1.57865315,0.51661918
4871,4871,598csv/1484757/1500429,8.0,136.2860874,50.51203915,123.1967395,-5.796359146,0.51661918
2945,2945,598csv/1484741/1495076,24.0,128.7847181,49.74467606,145.3160993,-1.843499829,-0.172206393
4993,4993,598csv/1484758/1500554,10.0,125.3518667,44.90160113,109.3482365,-6.008220282,0.51661918
354,354,598csv/1484719/1492352,14.0,126.0943216,45.11056124,133.517211,0.072259153,-0.172206393
3455,3455,598csv/1484745/1496568,8.0,120.3974351,38.72103359,152.3297568,-3.315817219,0.51661918
3390,3390,598csv/1484745/1496502,8.0,136.6187609,48.61974879,157.5495601,-3.275973387,0.51661918
2749,2749,598csv/1484739/1494852,24.0,125.9690165,37.16997937,151.5804677,-1.432270962,0.51661918
4127,4127,598csv/1484751/1499617,10.0,117.0935097,51.34687831,111.4699471,-2.303014018,0.51661918
5083,5083,598csv/1484759/1500650,9.0,116.8913817,38.17826239,114.3660851,-5.993971047,0.51661918
4912,4912,598csv/1484757/1500470,,128.0,69.5,128.0,126.807507,0.51661918
4943,4943,598csv/1484758/1500503,7.0,135.7502795,45.00024455,111.2411263,-5.760243076,0.51661918
4107,4107,598csv/1484751/1499597,7.0,117.0077782,32.22368858,108.1291333,-2.054915255,0.51661918
3835,3835,598csv/1484748/1497314,4.0,132.2268186,52.32123678,116.2370057,-2.014315065,0.51661918
4007,4007,598csv/1484750/1499483,4.0,151.0835523,45.2982288,127.281135,-2.183604079,0.0
2023,2023,598csv/1484733/1494071,14.0,132.6802016,48.09835185,137.1793548,0.092464703,0.344412787
4234,4234,598csv/1484752/1499726,9.0,111.2448018,41.93591825,110.4483346,-2.1351972,-0.172206393
4776,4776,598csv/1484756/1500333,19.0,121.8519673,48.35375585,123.5882173,-5.893172905,0.51661918
1945,1945,598csv/1484733/1493990,4.0,125.79221,45.208919,148.0782952,0.144801941,0.51661918
2962,2962,598csv/1484741/1495094,23.0,113.0586256,51.71286353,152.5091487,-1.82007976,0.51661918
2062,2062,598csv/1484734/1494110,5.0,119.5158904,50.84915063,152.9592553,0.402044526,0.51661918
227,227,598csv/1484718/1492216,10.0,139.9520125,57.28482328,134.0526567,-0.012155745,0.51661918
5067,5067,598csv/1484759/1500632,3.0,136.4452136,49.3114396,110.9490439,-6.034530718,0.51661918
845,845,598csv/1484724/1492851,11.0,136.6525312,62.04784675,146.0674608,-0.088520839,-0.172206393
3589,3589,598csv/1484746/1496707,20.0,145.7470407,33.00756052,141.3099305,-3.253539284,0.51661918
2616,2616,598csv/1484738/1494675,11.0,138.0912245,50.40273992,151.1951928,0.168438112,0.51661918
3834,3834,598csv/1484748/1497313,1.0,138.1530344,51.90921688,125.476407,-2.107090415,0.51661918
4971,4971,598csv/1484758/1500532,12.0,110.6678032,38.16028027,121.345053,-5.756474795,0.51661918
2225,2225,598csv/1484735/1494274,5.0,121.3456193,41.44462667,149.1759603,0.252839504,0.51661918
2117,2117,598csv/1484734/1494166,7.0,122.4636471,42.74307611,147.4725275,0.244951776,0.51661918
2868,2868,598csv/1484740/1494995,5.0,122.2835591,48.66763128,150.9417371,-1.71901149,0.344412787
5012,5012,598csv/1484758/1500576,8.0,127.8047372,39.86902792,117.7248152,-5.763200974,0.51661918
4110,4110,598csv/1484751/1499600,10.0,126.5942817,50.1877515,124.7294741,-2.123716774,0.688825573
4101,4101,598csv/1484751/1499591,13.0,134.2615874,52.50426867,120.1330155,-2.075282881,0.51661918
3261,3261,598csv/1484744/1496371,6.0,117.6183559,40.9884872,141.9193386,-3.190802131,0.51661918
2736,2736,598csv/1484739/1494830,26.0,116.0896764,50.98418079,156.7489471,-1.553234135,0.51661918
